Ma SV,Ma HP,Time slot
2942,KH0261,0
2944,KH0390,0
2945,KH0390,0
2946,KH0082,0
2951,KH0082,0
2952,KH0312,0
2956,KH0107,0
2963,KH0268,0
2964,KH0320,0
2966,KH0428,0
2967,KH0285,0
2975,KH0377,0
2978,KH0285,0
2979,KH0428,0
2981,KH0248,0
2986,KH0345,0
3001,KH0390,0
3005,KH0071,0
3007,KH0036,0
3012,KH0390,0
3019,KH0169,0
3029,KH0186,0
3030,KH0183,0
3053,KH0244,0
3215,KH0391,0
3234,KH0261,0
3262,KH0391,0
3268,KH0261,0
3343,KH0391,0
3345,KH0391,0
3376,KH0391,0
3420,KH0391,0
3621,KH0391,0
3629,KH0391,0
3690,KH0320,0
3694,KH0320,0
3698,KH0320,0
3699,KH0320,0
3700,KH0320,0
3706,KH0320,0
3738,KH0320,0
3744,KH0248,0
3831,KH0391,0
3833,KH0391,0
3858,KH0391,0
3878,KH0391,0
3886,KH0391,0
3915,KH0248,0
3939,KH0169,0
3940,KH0071,0
3941,KH0200,0
3949,KH0071,0
3952,KH0235,0
3955,KH0235,0
3958,KH0071,0
3959,KH0183,0
3968,KH0082,0
3971,KH0374,0
3974,KH0071,0
3977,KH0071,0
3981,KH0346,0
3983,KH0107,0
3985,KH0107,0
3991,KH0454,0
3994,KH0346,0
3996,KH0346,0
3997,KH0454,0
3998,KH0200,0
3999,KH0183,0
4024,KH0454,0
4040,KH0346,0
4042,KH0248,0
4043,KH0248,0
4050,KH0346,0
4051,KH0036,0
4052,KH0200,0
4054,KH0169,0
4056,KH0071,0
4057,KH0169,0
4061,KH0447,0
4066,KH0248,0
4072,KH0169,0
4073,KH0391,0
4076,KH0107,0
4082,KH0200,0
4084,KH0346,0
4089,KH0169,0
4099,KH0391,0
4100,KH0391,0
4101,KH0391,0
4102,KH0391,0
4108,KH0391,0
4114,KH0391,0
4119,KH0391,0
4120,KH0391,0
4121,KH0391,0
4122,KH0391,0
4123,KH0391,0
4124,KH0391,0
4125,KH0391,0
4126,KH0391,0
4161,KH0391,0
4173,KH0391,0
4181,KH0391,0
4182,KH0391,0
4183,KH0391,0
4186,KH0391,0
4196,KH0391,0
4206,KH0391,0
4208,KH0391,0
4211,KH0391,0
4212,KH0391,0
4215,KH0391,0
4216,KH0391,0
4229,KH0391,0
4234,KH0391,0
4239,KH0391,0
4252,KH0391,0
4253,KH0391,0
4254,KH0391,0
4255,KH0391,0
4257,KH0391,0
4258,KH0391,0
4259,KH0391,0
4260,KH0391,0
4261,KH0391,0
4262,KH0391,0
4263,KH0391,0
4264,KH0391,0
4265,KH0391,0
4266,KH0391,0
4267,KH0391,0
4277,KH0391,0
4285,KH0391,0
4286,KH0391,0
4287,KH0391,0
4288,KH0391,0
4289,KH0391,0
4291,KH0391,0
4292,KH0391,0
4293,KH0391,0
4294,KH0391,0
4295,KH0391,0
4297,KH0391,0
4298,KH0391,0
4299,KH0391,0
4300,KH0391,0
4301,KH0391,0
4303,KH0391,0
4304,KH0391,0
4305,KH0391,0
4306,KH0391,0
4320,KH0391,0
4333,KH0391,0
4389,KH0391,0
4390,KH0391,0
4394,KH0391,0
4395,KH0391,0
4396,KH0391,0
4397,KH0391,0
4400,KH0391,0
4401,KH0391,0
4402,KH0391,0
4403,KH0391,0
4405,KH0391,0
4406,KH0391,0
4407,KH0391,0
4408,KH0391,0
4409,KH0391,0
4410,KH0391,0
4412,KH0391,0
4413,KH0391,0
4414,KH0391,0
4415,KH0391,0
4416,KH0391,0
4417,KH0391,0
4425,KH0391,0
4426,KH0391,0
4427,KH0391,0
4431,KH0391,0
4432,KH0391,0
4433,KH0391,0
4434,KH0391,0
4436,KH0391,0
4437,KH0391,0
4438,KH0391,0
4439,KH0391,0
4440,KH0391,0
4442,KH0391,0
4443,KH0391,0
4444,KH0391,0
4445,KH0391,0
4446,KH0391,0
4447,KH0391,0
